Study Hours,Sleep Hours,Assignment Submitted,Topics to Cover,Topic Difficulty,Learning Capacity,Previous Test Score,Class Participation,Concentration Level,Distraction Time,Health Status,Study Environment,Revision Done,Time Left for Exam,Practice Tests Taken,Topic Familiarity,Predicted Score
9,7.2,Yes,3,High,Medium,83,Low,5,3.9,Healthy,Distracting,Yes,1,3,Revision,100.0
9,4.8,Yes,3,High,Low,44,Medium,2,1.7,Sick,Distracting,Yes,4,3,First Time,75.2
0,6.1,Yes,4,High,Low,59,Low,4,2.2,Okay,Distracting,Yes,0,0,Revision,39.8
8,7.1,Yes,1,High,Low,87,Low,5,0.0,Sick,Distracting,Yes,0,1,First Time,80.8
3,7.9,No,1,Low,Medium,74,Medium,4,0.0,Healthy,Distracting,Yes,0,3,First Time,69.2
4,7.4,Yes,1,Medium,Low,87,Low,5,0.3,Okay,Distracting,No,4,3,First Time,68.6
1,7.4,No,7,Low,Medium,82,Low,3,2.9,Okay,Quiet,Yes,2,1,Revision,42.4
9,4.7,No,2,Medium,Medium,53,Low,3,0.7,Sick,Distracting,No,1,1,First Time,64.0
7,5.7,Yes,5,Medium,Low,93,Low,1,3.0,Sick,Quiet,Yes,3,1,Revision,70.4
1,4.2,No,1,Medium,High,65,High,2,1.7,Healthy,Distracting,No,0,2,Revision,52.0
2,7.6,No,2,High,Low,93,Low,3,3.4,Okay,Distracting,Yes,3,1,First Time,27.0
8,8.8,Yes,2,High,Medium,84,Low,5,3.5,Healthy,Distracting,Yes,1,0,First Time,83.4
1,5.3,No,3,Medium,High,82,Low,4,3.5,Okay,Distracting,Yes,4,0,Revision,42.6
5,4.4,Yes,5,Medium,Low,85,Low,1,2.2,Sick,Distracting,No,3,2,Revision,50.4
3,6.4,No,3,High,Low,81,High,4,3.2,Healthy,Distracting,Yes,4,3,Revision,55.4
6,8.3,Yes,5,High,Low,63,High,4,2.6,Okay,Quiet,Yes,0,1,Revision,78.2
5,6.8,No,7,Medium,Low,70,High,2,0.7,Sick,Distracting,Yes,0,3,Revision,54.2
9,4.2,Yes,3,Medium,Low,57,Medium,4,1.5,Sick,Distracting,Yes,3,0,First Time,79.4
8,8.9,Yes,6,Low,High,78,Medium,2,3.8,Healthy,Distracting,Yes,4,2,First Time,88.6
8,8.1,No,4,High,Low,94,High,5,3.1,Healthy,Quiet,No,4,2,First Time,70.6
9,4.7,Yes,5,High,Medium,89,Medium,4,1.1,Okay,Distracting,Yes,4,3,Revision,94.2
3,8.6,Yes,6,Medium,Medium,61,High,4,1.1,Healthy,Distracting,No,0,3,First Time,63.6
0,6.3,No,2,Low,High,60,Low,4,1.0,Sick,Distracting,Yes,0,1,Revision,46.6
1,5.9,Yes,2,High,Medium,73,High,5,1.3,Healthy,Quiet,Yes,3,2,Revision,76.2
7,6.3,Yes,5,Low,High,64,High,3,3.7,Healthy,Distracting,Yes,2,0,Revision,99.2
9,8.2,No,3,Low,Medium,79,Medium,3,1.7,Okay,Distracting,Yes,3,2,Revision,90.2
7,7.3,No,7,High,High,94,High,5,1.5,Okay,Distracting,No,0,0,Revision,69.4
1,4.3,No,4,Medium,Low,86,Low,1,1.0,Sick,Distracting,No,3,3,First Time,13.6
3,8.8,No,4,Low,Medium,69,High,1,3.6,Sick,Distracting,Yes,4,3,First Time,41.2
0,4.7,No,1,Medium,Medium,45,High,2,3.8,Healthy,Distracting,No,1,1,First Time,28.8
6,7.7,No,5,High,High,92,High,5,1.3,Okay,Quiet,No,3,0,First Time,66.0
3,7.2,Yes,4,Low,High,84,High,1,2.5,Okay,Distracting,Yes,1,1,Revision,75.6
7,4.9,No,3,Medium,High,64,Medium,2,3.8,Sick,Distracting,Yes,1,3,Revision,69.2
8,4.9,No,3,Low,Medium,44,Medium,4,2.0,Okay,Quiet,Yes,2,3,First Time,84.8
8,8.4,No,2,Low,High,68,Medium,4,1.9,Healthy,Quiet,No,1,1,First Time,89.4
2,6.1,Yes,4,Low,Low,61,High,1,2.1,Okay,Quiet,No,4,2,First Time,55.0
4,7.3,Yes,4,High,High,42,Low,2,0.1,Sick,Distracting,Yes,0,1,Revision,66.2
